Overall Rank,Change in rank,Country,Score,Change in score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Trust,Residual
25,Decrease 4, Mexico,6.578,Decrease 0.200,1.153,1.211,0.71,0.413,0.121,0.133,2.837
26,Decrease 4, Singapore,6.572,Decrease 0.167,1.692,1.354,0.949,0.55,0.346,0.464,1.216
27,Increase 3, Malta,6.527,Increase 0.039,1.343,1.488,0.822,0.589,0.575,0.153,1.557
28,Increase 1, Uruguay,6.454,Decrease 0.091,1.218,1.412,0.719,0.579,0.175,0.178,2.172
29,Increase 10, Guatemala,6.454,Increase 0.130,0.872,1.256,0.54,0.531,0.283,0.077,2.894
30,Decrease 5, Panama,6.452,Decrease 0.249,1.234,1.373,0.706,0.55,0.211,0.071,2.307
31,Increase 1, France,6.442,Decrease 0.036,1.431,1.388,0.844,0.47,0.13,0.173,2.006
32,Increase 1, Thailand,6.424,Decrease 0.050,1.128,1.426,0.647,0.58,0.572,0.032,2.04
33,Increase 2, Taiwan,6.422,Increase 0.043,1.434,1.385,0.794,0.361,0.258,0.064,2.127
34,Increase 3, Spain,6.403,Increase 0.042,1.384,1.532,0.889,0.409,0.19,0.071,1.928
35,Increase 1, Qatar,6.375,Steady,1.871,1.274,0.71,0.604,0.33,0.439,1.145
36,Decrease 5, Colombia,6.357,Decrease 0.124,1.071,1.402,0.595,0.477,0.149,0.047,2.616
37,Decrease 3, Saudi Arabia,6.344,Decrease 0.035,1.531,1.287,0.59,0.45,0.148,0.273,2.065
38,Increase 5, Trinidad and Tobago,6.168,Steady,1.361,1.38,0.52,0.519,0.325,0.009,2.053
39,Increase 2, Kuwait,6.105,Decrease 0.134,1.633,1.26,0.632,0.496,0.228,0.215,1.64
40,Increase 5, Slovakia,6.098,Increase 0.020,1.325,1.505,0.713,0.296,0.137,0.024,2.098
41,Increase 1, Bahrain,6.087,Decrease 0.131,1.488,1.323,0.653,0.537,0.173,0.257,1.656
42,Increase 5, Malaysia,6.084,Increase 0.079,1.291,1.285,0.619,0.402,0.417,0.066,2.004
43,Increase 5, Nicaragua,6.071,Increase 0.079,0.737,1.287,0.653,0.448,0.302,0.131,2.514
44,Increase 7, Ecuador,6.008,Increase 0.032,1.001,1.286,0.686,0.455,0.15,0.14,2.29
45,Increase 1, El Salvador,6.003,Decrease 0.065,0.91,1.182,0.596,0.432,0.078,0.09,2.715
46,Increase 11, Poland,5.973,Increase 0.138,1.292,1.446,0.699,0.52,0.158,0.059,1.798
47,Increase 2, Uzbekistan,5.971,Decrease 0.016,0.786,1.549,0.498,0.658,0.416,0.247,1.817
48,Increase 2, Italy,5.964,Decrease 0.013,1.395,1.445,0.853,0.256,0.173,0.028,1.813
49,Increase 7, Russia,5.963,Increase 0.107,1.282,1.469,0.547,0.374,0.052,0.033,2.206
50,Increase 2, Belize,5.956,Steady,0.908,1.081,0.45,0.548,0.24,0.097,2.632
51,Increase 2, Japan,5.92,Decrease 0.001,1.417,1.436,0.913,0.506,0.121,0.164,1.363
52,Increase 8, Lithuania,5.902,Increase 0.089,1.315,1.474,0.629,0.234,0.01,0.012,2.228
53,Decrease 15, Algeria,5.872,Decrease 0.483,1.092,1.146,0.618,0.233,0.069,0.146,2.568
54,Increase 14, Latvia,5.85,Increase 0.290,1.261,1.405,0.639,0.326,0.153,0.074,1.994
55,Steady, Moldova,5.838,Decrease 0.059,0.729,1.252,0.589,0.241,0.209,0.01,2.808
56,Increase 2, South Korea,5.838,Increase 0.003,1.402,1.128,0.9,0.258,0.207,0.063,1.88
57,Increase 14, Romania,5.825,Increase 0.297,1.218,1.15,0.685,0.457,0.134,0.004,2.177
58,Increase 1, Bolivia,5.823,Increase 0.001,0.834,1.228,0.474,0.559,0.226,0.06,2.443
59,Increase 6, Turkmenistan,5.822,Increase 0.164,1.131,1.493,0.438,0.418,0.25,0.259,1.833
60,Decrease 6, Kazakhstan,5.819,Decrease 0.100,1.285,1.384,0.606,0.437,0.202,0.119,1.785
61,Increase 1, North Cyprus,5.81,Increase 0.039,1.347,1.186,0.835,0.471,0.267,0.155,1.549
62,Increase 1, Slovenia,5.758,Decrease 0.010,1.341,1.453,0.791,0.573,0.243,0.045,1.313
63,Increase 1, Peru,5.715,Decrease 0.028,1.035,1.219,0.63,0.45,0.127,0.047,2.207
64,Increase 2, Mauritius,5.629,Decrease 0.019,1.189,1.21,0.638,0.491,0.361,0.042,1.698
65,Increase 4, Cyprus,5.621,Increase 0.075,1.356,1.131,0.845,0.355,0.271,0.041,1.621
66,Increase 6, Estonia,5.611,Increase 0.094,1.321,1.477,0.695,0.479,0.099,0.183,1.358
67,Decrease 6, Belarus,5.569,Decrease 0.233,1.157,1.445,0.638,0.295,0.155,0.156,1.723
68,Decrease 1, Libya,5.525,Decrease 0.090,1.102,1.358,0.52,0.466,0.152,0.093,1.835
69,Increase 9, Turkey,5.5,Increase 0.111,1.198,1.338,0.638,0.301,0.047,0.1,1.879
70,Steady, Paraguay,5.493,Decrease 0.045,0.933,1.507,0.579,0.474,0.224,0.091,1.685
71,Increase 4, Hong Kong,5.472,Increase 0.014,1.552,1.263,0.943,0.491,0.374,0.294,0.555
72,Increase 10, Philippines,5.43,Increase 0.151,0.858,1.254,0.468,0.585,0.194,0.099,1.973
73,Increase 13, Serbia,5.395,Increase 0.218,1.069,1.258,0.651,0.209,0.22,0.041,1.947
74,Increase 6, Jordan,5.336,Increase 0.033,0.991,1.239,0.605,0.418,0.172,0.12,1.791
75,Increase 16, Hungary,5.324,Increase 0.179,1.286,1.343,0.688,0.176,0.078,0.037,1.716
76,Decrease 3, Jamaica,5.311,Decrease 0.199,0.926,1.368,0.641,0.474,0.234,0.055,1.612
77,Decrease 3, Croatia,5.293,Decrease 0.195,1.223,0.968,0.701,0.256,0.248,0.043,1.854
78,Decrease 1, Kosovo,5.279,Decrease 0.122,0.951,1.138,0.541,0.26,0.32,0.057,2.011
79,Increase 4, China,5.273,Increase 0.028,1.081,1.161,0.741,0.473,0.029,0.023,1.765
80,Increase 12, Pakistan,5.269,Increase 0.137,0.727,0.673,0.402,0.235,0.315,0.124,2.792
81,Decrease 2, Indonesia,5.262,Decrease 0.052,0.996,1.274,0.492,0.443,0.612,0.015,1.429
82,Decrease 38, Venezuela,5.25,Decrease 0.834,1.128,1.431,0.617,0.154,0.065,0.064,1.789
83,Increase 5, Montenegro,5.237,Increase 0.076,1.121,1.238,0.667,0.195,0.198,0.088,1.729
84,Increase 6, Morocco,5.235,Increase 0.084,0.878,0.775,0.598,0.408,0.032,0.088,2.456
85,Decrease 4, Azerbaijan,7.342,Decrease 0.057,1.154,1.152,0.541,0.398,0.045,0.181,1.762
86,Increase 3, Dominican Republic,5.23,Increase 0.075,1.079,1.402,0.575,0.553,0.187,0.114,1.319
87,Increase 12, Greece,5.227,Increase 0.194,1.289,1.239,0.81,0.096,0,0.043,1.749
88,Increase 5, Lebanon,5.225,Increase 0.096,1.075,1.13,0.735,0.289,0.264,0.038,1.695
89,Increase 5, Portugal,5.195,Increase 0.072,1.315,1.367,0.796,0.498,0.095,0.016,1.108
90,Decrease 3, Bosnia and Herzegovina,5.182,Increase 0.019,0.982,1.069,0.705,0.204,0.329,0,1.892
91,Increase 13, Honduras,5.181,Increase 0.310,0.731,1.144,0.583,0.348,0.236,0.073,2.066
92,Increase 3, Macedonia,5.175,Increase 0.054,1.065,1.208,0.645,0.326,0.254,0.06,1.617
93,Decrease 17, Somalia,5.151,Decrease 0.289,0.023,0.721,0.114,0.602,0.292,0.282,3.117
94,Increase 2, Vietnam,5.074,Increase 0.013,0.789,1.277,0.652,0.571,0.235,0.088,1.462
95,Increase 8, Nigeria,5.074,Increase 0.199,0.784,1.216,0.057,0.395,0.231,0.026,2.365
96,Increase 4, Tajikistan,5.041,Increase 0.045,0.525,1.271,0.529,0.472,0.249,0.146,1.849
97,Decrease 13, Bhutan,5.011,Decrease 0.185,0.885,1.34,0.496,0.502,0.474,0.173,1.14
98,Decrease 13, Kyrgyzstan,5.004,Decrease 0.181,0.596,1.394,0.553,0.455,0.429,0.039,1.537
99,Increase 8,   Nepal,4.962,Increase 0.169,0.48,1.179,0.504,0.44,0.394,0.073,1.891
100,Increase 1, Mongolia,4.955,Increase 0.048,1.027,1.493,0.558,0.394,0.338,0.033,1.111
101,Increase 15, South Africa,4.829,Increase 0.370,1.055,1.385,0.187,0.479,0.139,0.073,1.511
102,Decrease 4, Tunisia,4.805,Decrease 0.240,1.007,0.868,0.613,0.29,0.05,0.087,1.89
103,Increase 5, Palestinian Territories,4.775,Increase 0.021,0.716,1.156,0.566,0.255,0.114,0.089,1.879
104,Increase 16, Egypt,4.735,Increase 0.373,0.99,0.997,0.52,0.282,0.129,0.114,1.702
105,Increase 24, Bulgaria,4.714,Increase 0.497,1.161,1.434,0.708,0.289,0.113,0.011,0.996
106,Increase 5, Sierra Leone,4.709,Increase 0.074,0.368,0.984,0.006,0.319,0.293,0.071,2.668
107,Increase 7, Cameroon,4.695,Increase 0.182,0.564,0.946,0.133,0.43,0.236,0.051,2.334
108,Decrease 3, Iran,4.692,Decrease 0.121,1.157,0.712,0.639,0.249,0.387,0.049,1.499
109,Steady, Albania,4.644,Decrease 0.011,0.996,0.804,0.731,0.381,0.201,0.04,1.49
110,Steady, Bangladesh,4.608,Decrease 0.035,0.587,0.735,0.533,0.478,0.172,0.124,1.979
111,Increase 2, Namibia,4.574,Steady,0.964,1.098,0.339,0.52,0.077,0.093,1.482
112,Increase 10, Kenya,4.553,Increase 0.197,0.56,1.068,0.31,0.453,0.445,0.065,1.652
113,N/A, Mozambique,4.55,N/A,0.234,0.871,0.107,0.481,0.322,0.179,2.356
114,Increase 5, Myanmar,4.545,Increase 0.150,0.367,1.123,0.398,0.514,0.838,0.189,1.115
115,Increase 13, Senegal,4.535,Increase 0.316,0.479,1.18,0.409,0.378,0.183,0.115,1.79
116,Decrease 10, Zambia,4.514,Decrease 0.281,0.636,1.003,0.258,0.462,0.25,0.078,1.827
117,Decrease 5, Iraq,4.497,Decrease 0.078,1.103,0.979,0.501,0.289,0.2,0.107,1.319
118,Increase 16, Gabon,4.465,Increase 0.344,1.198,1.156,0.357,0.312,0.044,0.076,1.323
119,Decrease 4, Ethiopia,4.46,Decrease 0.048,0.339,0.865,0.353,0.409,0.313,0.165,2.016
120,Decrease 3, Sri Lanka,4.44,Increase 0.025,1.01,1.26,0.625,0.561,0.491,0.074,0.419
121,Steady, Armenia,4.376,Increase 0.016,0.901,1.007,0.638,0.198,0.083,0.027,1.521
122,Decrease 4, India,4.315,Decrease 0.089,0.792,0.754,0.455,0.47,0.232,0.092,1.519
123,Increase 7, Mauritania,4.292,Increase 0.091,0.648,1.272,0.285,0.096,0.202,0.137,1.652
124,Increase 1, Congo (Brazzaville),4.291,Increase 0.019,0.809,0.832,0.29,0.435,0.121,0.08,1.724
125,Increase 1, Georgia,4.286,Increase 0.034,0.951,0.571,0.65,0.309,0.054,0.252,1.5
126,Increase 1, Congo (Kinshasa),4.28,Increase 0.044,0.092,1.229,0.191,0.236,0.246,0.06,2.225
127,Increase 8, Mali,4.19,Increase 0.117,0.476,1.281,0.169,0.307,0.183,0.105,1.668
128,Increase 11, Ivory Coast,4.18,Increase 0.264,0.603,0.905,0.049,0.448,0.201,0.13,1.845
129,Increase 11, Cambodia,4.168,Increase 0.261,0.602,1.006,0.43,0.633,0.386,0.068,1.043
130,Increase 3, Sudan,4.139,Steady,0.66,1.214,0.291,0.015,0.182,0.09,1.687
131,Decrease 7, Ghana,4.12,Decrease 0.156,0.667,0.874,0.296,0.423,0.257,0.025,1.578
132,Decrease 9, Ukraine,4.096,Decrease 0.228,0.895,1.395,0.576,0.123,0.27,0.023,0.814
133,Increase 13, Uganda,4.081,Increase 0.342,0.381,1.13,0.218,0.443,0.326,0.057,1.526
134,Increase 11, Burkina Faso,4.032,Increase 0.293,0.35,1.043,0.216,0.324,0.251,0.12,1.727
135,Increase 7, Niger,4.028,Increase 0.172,0.162,0.993,0.269,0.364,0.229,0.139,1.874
136,Decrease 4, Malawi,3.97,Decrease 0.186,0.233,0.513,0.315,0.467,0.287,0.073,2.082
137,Increase 7, Chad,3.936,Increase 0.173,0.438,0.954,0.041,0.162,0.216,0.054,2.071
138,Decrease 7, Zimbabwe,3.875,Decrease 0.318,0.376,1.083,0.197,0.336,0.189,0.095,1.598
139,N/A, Lesotho,3.808,N/A,0.521,1.19,0,0.391,0.157,0.119,1.43
140,Increase 1, Angola,3.795,Decrease 0.071,0.858,1.104,0.05,0,0.098,0.07,1.614
141,Increase 13, Afghanistan,3.794,Increase 0.434,0.401,0.582,0.181,0.106,0.312,0.061,2.151
142,Decrease 5, Botswana,3.766,Decrease 0.208,1.122,1.222,0.342,0.505,0.099,0.099,0.378
143,Increase 10, Benin,3.657,Increase 0.173,0.431,0.435,0.21,0.426,0.208,0.061,1.886
144,Increase 4, Madagascar,3.644,Decrease 0.051,0.306,0.913,0.375,0.189,0.209,0.067,1.585
145,Decrease 9, Haiti,3.603,Decrease 0.425,0.369,0.64,0.277,0.03,0.489,0.1,1.697
146,Increase 1, Yemen,3.593,Decrease 0.131,0.592,0.935,0.31,0.249,0.104,0.057,1.346
147,Decrease 4, South Sudan,3.591,Decrease 0.241,0.397,0.601,0.163,0.147,0.286,0.117,1.88
148,Increase 2, Liberia,3.533,Decrease 0.089,0.119,0.872,0.23,0.333,0.267,0.039,1.673
149,Increase 2, Guinea,3.507,Decrease 0.100,0.245,0.791,0.194,0.349,0.265,0.111,1.552
150,Increase 5, Togo,3.495,Increase 0.192,0.305,0.432,0.247,0.38,0.197,0.096,1.837
151,Increase 1, Rwanda,3.471,Decrease 0.044,0.369,0.946,0.326,0.582,0.253,0.455,0.54
152,Increase 4, Syria,3.462,Increase 0.393,0.777,0.396,0.501,0.082,0.494,0.151,1.062
153,Decrease 4, Tanzania,3.349,Decrease 0.317,0.511,1.042,0.365,0.39,0.354,0.066,0.621
154,Increase 3, Burundi,2.905,Steady,0.092,0.63,0.152,0.06,0.204,0.084,1.683
155,N/A, Central African Republic,2.693,N/A,0,0,0.019,0.271,0.281,0.057,2.066
